Período;Região;Entidade;Localização Geográfica;Trabalho Suplementar Diurno;Trabalho Suplementar Nocturno;Trabalho em Dias de Descanso Semanal Obrigatório;Trabalho em Dias de Descanso Semanal Complementar;Trabalho em Dias Feriados;Trabalho Nocturno Normal;Trabalho Nocturno Suplementar
2014-01;Região de Saúde LVT;Administração Central do Sistema de Saúde, IP;38.7569402,-9.1494097;154.0;66.67;0.0;7.0;0.0;0.0;66.67
2014-01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;12278.1;26340.1;10568.3;5099.0;4563.65;136180.97;32949.3
2014-01;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.3031784,-7.7515252;3235.13;7275.98;1802.0;1074.0;0.0;53303.5;8650.98
2014-01;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;492.17;1842.93;816.2;483.22;4.02;13835.98;2352.08
2014-01;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;298.0;534.0;401.0;284.0;0.0;10237.19;769.5
2014-01;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;3699.0;5722.5;1472.0;955.5;0.0;26254.62;6608.0
2014-01;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, IP;38.5658621,-7.9136262;1887.14;1099.67;1189.0;596.0;0.0;3034.0;1422.67
2014-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;4226.5;4264.5;2829.5;1876.0;0.0;24616.25;5443.0
2014-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;4033.0;6707.17;2933.5;2894.75;55.0;25770.67;8154.92
2014-01;Região de Saúde do Centro;Administração Regional de Saúde do Centro;40.2038193,-8.4212899;8092.99;5879.97;8439.0;5847.0;17.0;7708.0;8187.47
2014-01;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;1571.0;3406.67;1465.33;809.75;306.0;28495.0;4254.42
2014-01;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;2566.11;7593.12;1483.5;1003.5;29.5;22243.5;8512.12
2014-02;Região de Saúde Norte;Administração Regional Saúde Norte, IP;41.1576361,-8.6066408;31205.12;14878.67;20389.3;11117.16;2746.46;17386.4;18438.13
2014-02;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;20499.5;14453.5;6080.5;2696.5;2043.0;71128.0;18867.0
2014-02;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;92.5;323.33;146.0;82.67;0.0;14649.25;409.0
2014-02;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272496,-7.9489909;8866.75;5079.5;7257.5;4681.0;688.5;10037.0;7581.0
2014-02;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;9041.08;11918.5;8532.58;2999.0;923.0;60142.83;16149.25
2014-02;Região de Saúde LVT;Secretaria-Geral do Ministério da Saúde;38.7362218,-9.1463126;1002.0;1180.48;0.0;76.0;0.0;0.0;1180.48
2014-03;Região de Saúde LVT;Administração Regional Saúde Lisboa Vale Tejo, IP;38.7490091,-9.1417844;28087.07;12072.73;14366.18;13102.01;1914.5;12796.25;13649.3
2014-03;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;28649.74;70959.85;35884.63;16250.83;3884.5;508757.15;96192.35
2014-03;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;4477.25;12491.15;6876.75;3396.75;1103.5;83890.64;17761.65
2014-03;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793,-9.144249;0.0;0.0;0.0;0.0;0.0;983.66;0.0
2014-03;Região de Saúde LVT;Instituto Português do Sangue e da Transplantação, IP;38.7567758,-9.1505021;7362.27;9973.97;9588.75;2488.2;328.24;24.32;10428.82
2014-03;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;6693.0;17669.86;7837.12;4642.2;2015.73;109101.78;22981.36
2014-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;11092.99;19769.09;10114.5;8829.59;1953.25;79224.59;25966.76
2014-03;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve;37.0238973,-7.9281554;17476.72;33863.06;21254.5;9402.0;2786.0;283336.83;47046.56
2014-03;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;4860.0;10611.58;5506.0;3383.07;697.5;83656.5;13996.08
2014-03;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;2026.7;3139.5;1375.0;921.0;279.5;10020.0;4077.5
2014-03;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;6902.86;21613.2;7885.0;3660.5;1398.17;67891.0;26936.7
2014-03;Região de Saúde LVT;Autoridade Nacional Medicamento Produtos de Saúde, IP;38.7582532,-9.1502867;2229.082;281.58;152.5;367.98;0.0;0.0;281.58
2014-04;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;39008.65;94709.46;50549.13;23471.68;3928.0;686284.17;129753.18
2014-04;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;14302.77;40892.25;23660.75;10244.83;2297.5;347147.81;57428.5
2014-04;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;5514.25;16290.65;9119.25;4330.75;1103.5;117717.45;23130.15
2014-04;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;15157.92;29464.9;19470.25;10804.02;2599.0;232487.58;44522.67
2014-04;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;7719.93;10739.26;3632.81;1698.41;497.99;118220.69;13587.48
2014-04;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;11497.16;20880.65;12052.16;6484.72;1386.97;221216.94;28546.65
2014-04;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;3827.5;6068.3;2767.0;1960.5;279.5;19180.2;7852.8
2014-05;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793,-9.144249;5.0;0.0;0.0;7.0;0.0;1272.56;0.0
2014-05;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;16252.03;36977.93;13602.96;6700.0;1466.46;274862.0;46875.1
2014-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;2513.34;8952.95;4156.8;2256.97;375.93;70359.09;11808.58
2014-05;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;26904.55;66917.5;25412.5;12719.12;2031.0;654634.87;84600.53
2014-05;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;17358.25;28054.5;10880.67;5814.0;1183.0;131153.17;34955.5
2014-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;12653.5;20783.83;8509.5;5105.5;715.0;75938.42;26200.83
2014-05;Região de Saúde LVT;Secretaria-Geral do Ministério da Saúde;38.7362218,-9.1463126;2706.5;1908.95;0.0;76.0;0.0;0.0;1908.95
2014-06;Região de Saúde LVT;Administração Central do Sistema de Saúde, IP;38.7569402,-9.1494097;1073.55;376.07;6.0;11.0;1.98;0.0;376.07
2014-06;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;58636.46;142070.59;73369.18;35155.1;10490.5;1025428.12;196129.81
2014-06;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;21243.3;60499.5;37203.25;16135.08;4930.5;523477.17;87271.75
2014-06;Região de Saúde LVT;Centro Hospitalar do Oeste, EPE;39.4054629,-9.1258493;11163.71;29157.44;17899.83;6409.5;1955.5;196801.97;38533.93
2014-06;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;2977.13;10566.88;4763.71;2580.67;722.72;84216.25;14010.21
2014-06;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;59185.5;40320.25;16510.0;8719.75;4601.75;214285.75;52559.75
2014-06;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;564.0;942.83;408.0;240.17;31.5;43876.97;1193.5
2014-06;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;18222.96;36165.56;21425.61;12422.27;2894.87;177188.81;49217.86
2014-06;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve;37.0272496,-7.9489909;26974.31;15616.44;22367.2;13051.18;2695.7;30088.75;23398.0
2014-06;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;17650.74;31514.0;19776.24;10793.05;2704.97;331909.83;44282.5
2014-06;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;2922.5;5923.0;4566.0;2006.0;130.0;68468.0;8952.0
2014-07;Região de Saúde LVT;Administração Central do Sistema de Saúde, IP;38.7569402,-9.1494097;1216.05;430.53;6.0;11.0;1.98;0.0;430.53
2014-07;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;12170.45;27656.65;16490.0;7998.0;2583.5;226433.2;40482.4
2014-07;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;25940.91;49639.44;35409.25;22557.47;9276.0;399731.82;80362.71
2014-07;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;16959.52;35545.58;16881.06;8314.89;3859.05;188851.04;45046.92
2014-07;Região de Saúde LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793,-9.144249;5.0;0.0;0.0;7.0;0.0;1566.44;0.0
2014-07;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;19056.64;31368.79;23266.07;12635.5;3197.0;281076.9;43926.79
2014-07;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;15287.5;40850.61;19805.68;11657.2;4526.23;255442.56;53988.61
2014-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;25478.0;26728.02;23469.25;13046.0;4801.5;172577.02;38815.52
2014-07;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;25989.44;45470.34;27757.5;24194.1;4825.75;182913.26;63432.85
