Período;Região;Entidade ; Localização Geográfica;Dadores Inscritos;Dadores de 1ª vez;Dadores Regulares
2010-12;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;4548;1210;4541
2010-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;5910;722;5188
2010-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;3214;901;1135
2010-12;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;11235;1080;10155
2010-12;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;4008;785;3223
2010-12;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;17345;4284;13061
2010-12;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;5906;666;5240
2010-12;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;5800;226;4749
2011-12;Entidade Central (IPST, IP);Instituto Português do Sangue e Transplantação (IPST), I.P;38.7567758,-9.1505021;323185;39466;283719
2011-12;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;4458;1193;4453
2011-12;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;4145;483;3662
2011-12;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;6990;1092;5898
2011-12;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;5640;235;4583
2011-12;Região de Saúde Norte;Hospital de Braga, PPP;41.567781,-8.399268;;;
2012-12;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;9770;878;8892
2012-12;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;6235;342;4617
2013-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;821;9;812
2013-12;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;3693;656;1685
2013-12;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;2012;41;1806
2013-12;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565,-8.992398;1157;224;894
2014-12;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;15355;1742;13613
2014-12;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;2995;425;2570
2014-12;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;12408;1748;10660
2014-12;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565,-8.992398;1254;284;832
2015-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;164;1;163
2015-01;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;194;36;136
2015-01;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;1226;106;1120
2015-01;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;403;89;314
2015-01;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.952565,-8.992398;182;26;125
