Período;Região;Entidade;Número de Novos Registos
2021-05-05;ARS Alentejo;ACES Alentejo Central;8
2021-05-07;ARS Alentejo;ACES Alentejo Central;13
2021-05-08;ARS Alentejo;ACES Alentejo Central;9
2021-05-06;ARS Alentejo;ACES Alentejo Litoral;4
2021-05-04;ARS Alentejo;ACES Baixo Alentejo;7
2021-05-09;ARS Alentejo;ACES Baixo Alentejo;5
2021-05-10;ARS Alentejo;ACES Baixo Alentejo;10
2021-04-26;ARS Alentejo;ACES São Mamede;6
2021-05-02;ARS Alentejo;ACES São Mamede;2
2021-05-05;ARS Alentejo;ACES São Mamede;9
2021-05-06;ARS Algarve;ACES Algarve I - Algarve Central;39
2021-05-08;ARS Algarve;ACES Algarve I - Algarve Central;20
2021-05-09;ARS Algarve;ACES Algarve I - Algarve Central;21
2021-04-27;ARS Algarve;ACES Algarve II - Algarve Barlavento;28
2021-04-29;ARS Algarve;ACES Algarve II - Algarve Barlavento;28
2021-05-05;ARS Algarve;ACES Algarve II - Algarve Barlavento;25
2021-05-06;ARS Algarve;ACES Algarve II - Algarve Barlavento;29
2021-04-27;ARS Algarve;ACES Algarve III - Algarve Sotavento;12
2021-04-28;ARS Algarve;ACES Algarve III - Algarve Sotavento;7
2021-05-01;ARS Algarve;ACES Algarve III - Algarve Sotavento;7
2021-05-02;ARS Algarve;ACES Algarve III - Algarve Sotavento;3
2021-05-08;ARS Algarve;ACES Algarve III - Algarve Sotavento;4
2021-05-01;ARS Centro;ACES Baixo Mondego;31
2021-05-05;ARS Centro;ACES Baixo Mondego;49
2021-05-10;ARS Centro;ACES Baixo Mondego;59
2021-04-28;ARS Centro;ACES Baixo Vouga;55
2021-05-02;ARS Centro;ACES Baixo Vouga;19
2021-05-07;ARS Centro;ACES Baixo Vouga;38
2021-04-26;ARS Centro;ACES Beira Interior Sul;7
2021-05-09;ARS Centro;ACES Beira Interior Sul;5
2021-05-10;ARS Centro;ACES Beira Interior Sul;8
2021-04-26;ARS Centro;ACES Cova da Beira;7
2021-04-29;ARS Centro;ACES Cova da Beira;9
2021-04-30;ARS Centro;ACES Cova da Beira;6
2021-05-01;ARS Centro;ACES Dão Lafões;13
2021-05-06;ARS Centro;ACES Dão Lafões;9
2021-04-27;ARS Centro;ACES Guarda;18
2021-04-30;ARS Centro;ACES Guarda;10
2021-05-10;ARS Centro;ACES Guarda;14
2021-05-05;ARS Centro;ACES Pinhal Interior Norte;20
2021-05-06;ARS Centro;ACES Pinhal Interior Norte;10
2021-05-08;ARS Centro;ACES Pinhal Interior Norte;9
2021-05-09;ARS Centro;ACES Pinhal Interior Norte;10
2021-04-26;ARS Centro;ACES Pinhal Interior Sul;9
2021-04-26;ARS Centro;ACES Pinhal Litoral;32
2021-04-29;ARS Centro;ACES Pinhal Litoral;27
2021-05-07;ARS Centro;ACES Pinhal Litoral;18
2021-05-08;ARS Centro;ACES Pinhal Litoral;11
2021-04-26;ARS Lisboa e Vale do Tejo;ACES Almada / Seixal;82
2021-04-29;ARS Lisboa e Vale do Tejo;ACES Almada / Seixal;63
2021-04-30;ARS Lisboa e Vale do Tejo;ACES Almada / Seixal;45
2021-05-03;ARS Lisboa e Vale do Tejo;ACES Almada / Seixal;77
2021-05-05;ARS Lisboa e Vale do Tejo;ACES Almada / Seixal;62
2021-05-07;ARS Lisboa e Vale do Tejo;ACES Almada / Seixal;54
2021-05-10;ARS Lisboa e Vale do Tejo;ACES Amadora;40
2021-04-28;ARS Lisboa e Vale do Tejo;ACES Arco Ribeirinho;35
2021-05-01;ARS Lisboa e Vale do Tejo;ACES Arco Ribeirinho;19
2021-05-03;ARS Lisboa e Vale do Tejo;ACES Arco Ribeirinho;26
2021-04-29;ARS Lisboa e Vale do Tejo;ACES Arrábida;26
2021-04-30;ARS Lisboa e Vale do Tejo;ACES Arrábida;26
2021-04-29;ARS Lisboa e Vale do Tejo;ACES Cascais;45
2021-05-02;ARS Lisboa e Vale do Tejo;ACES Cascais;22
2021-05-03;ARS Lisboa e Vale do Tejo;ACES Estuário do Tejo;30
2021-05-09;ARS Lisboa e Vale do Tejo;ACES Estuário do Tejo;13
2021-04-29;ARS Lisboa e Vale do Tejo;ACES Lezíria;22
